X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
14,City of London School ,Independent,105 ,31,City of London School,100003.0,City of London,201.0,6007.0,2016007.0,City of London School,107 Queen Victoria Street,,,London,EC4V 3AL,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,18.0,Boys,None,Not applicable,,,51.51114870000001,-0.09884609999999999
15,Sevenoaks School ,Independent,123,31,Sevenoaks School,118952.0,Kent,886.0,6014.0,8866014.0,Sevenoaks School,High Street,Sevenoaks,Kent,Sevenoaks,TN13 1HU,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Mixed,None,Not applicable,,,51.2661399,0.1954209
16,Henrietta Barnett School ,State , 88,30,Henrietta Barnett School,138051.0,Barnet,302.0,4752.0,3024752.0,The Henrietta Barnett School,Central Square,Hampstead Garden Suburb,,London,NW11 7BN,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,None,Selective,,,51.5812815,-0.1886809
17,Winstanley College,State ,120 ,30 ,Winstanley College,130522.0,Wigan,359.0,8600.0,3598600.0,Winstanley College,Winstanley Road,Billinge,,Wigan,WN5 7XF,Open,,,College,Further education,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Good,06-02-2020,53.5240225,-2.7015764
18,Newham Collegiate Sixth Form,State ,151 ,29 ,Newham Collegiate Sixth Form,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5329821,0.0562729
19,Highgate School ,Independent,94,28,Highgate School,102163.0,Haringey,309.0,6001.0,3096001.0,Highgate School,North Road,Highgate,London,,N6 4AY,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,19.0,Mixed,Christian,Not applicable,,,51.5721393,-0.1492358
20,Brighton College,Independent ,122 ,28,Brighton College,114614.0,Brighton and Hove,846.0,6008.0,8466008.0,Brighton College,Eastern Road,,,Brighton,BN2 0AL,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Mixed,None,Selective,,,50.8205457,-0.1220767
21,London Academy of Excellence,State ,89 ,27,London Academy of Excellence,138403.0,Newham,316.0,4000.0,3164000.0,London Academy of Excellence,Broadway House,322 High Street,Stratford,London,E15 1AJ,Open,,,College,Free schools 16 to 19,0.0,0.0,1.0,16.0,19.0,Mixed,None,Not applicable,Outstanding,11-10-2017,51.5393509,-0.0008717
22,"Woodhouse College, Finchley",State ,132 ,27,Woodhouse College,130427.0,Barnet,302.0,8600.0,3028600.0,Woodhouse College,Woodhouse Road,,Finchley,London,N12 9EY,Closed,,31-12-2020,College,Further education,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,24-01-2007,51.6121218,-0.169355
22,"Woodhouse College, Finchley",State ,132 ,27,Woodhouse College,148421.0,Barnet,302.0,8600.0,3028600.0,Woodhouse College,Woodhouse Road,,,London,N12 9EY,Open,01-01-2021,,Academy,Academy 16-19 converter,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Non-selective,Outstanding,24-01-2007,51.6121218,-0.169355
